Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 67.0.3396.79,,2018-06-14 16:44:43,2018-06-14 20:32:30,3h - 47m - 47.079s,FAILED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-02,Chrome 67.0.3396.79,To verify that public admin is able to generate weekly goal statistics report for selected groups/stores for selected duration,2018-06-14 16:44:43,2018-06-14 16:47:42,2m - 58.388s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 16:44:43,2018-06-14 16:44:48,4.159s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 16:44:48,2018-06-14 16:44:48,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 16:44:48,2018-06-14 16:47:41,2m - 53.133s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 16:47:41,2018-06-14 16:47:41,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 16:47:41,2018-06-14 16:47:42,0.714s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-03,Chrome 67.0.3396.79,To verify that public admin is able generate Day Goal Report when there is only 2 goal set.,2018-06-14 16:47:42,2018-06-14 16:52:08,4m - 26.186s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 16:47:42,2018-06-14 16:47:45,3.300s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 16:47:45,2018-06-14 16:47:45,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 16:47:45,2018-06-14 16:52:07,4m - 21.946s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 16:52:07,2018-06-14 16:52:07,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 16:52:07,2018-06-14 16:52:08,0.713s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-04,Chrome 67.0.3396.79,To verify that public admin is able generate Day Goal Report and also to verify the colour of each goal is displayed based on display settings,2018-06-14 16:52:08,2018-06-14 16:54:35,2m - 26.971s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 16:52:08,2018-06-14 16:52:11,3.293s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 16:52:11,2018-06-14 16:52:11,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 16:52:11,2018-06-14 16:54:34,2m - 22.832s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 16:54:34,2018-06-14 16:54:34,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 16:54:34,2018-06-14 16:54:35,0.670s,PASSED
,,,,,,
Test Cases/MasqueradeTC/HME-Masquerade-05,Chrome 67.0.3396.79,To verify that public admin can only edit the user roles as store admin,2018-06-14 16:54:35,2018-06-14 16:56:49,2m - 14.256s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 16:54:35,2018-06-14 16:54:38,3.397s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 16:54:38,2018-06-14 16:54:38,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 16:54:38,2018-06-14 16:56:48,2m - 10.037s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 16:56:48,2018-06-14 16:56:48,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 16:56:48,2018-06-14 16:56:49,0.662s,PASSED
,,,,,,
Test Cases/MultilingualTC/HME-JWT-04,Chrome 67.0.3396.79,To verify that session time out is maintained properly across the application,2018-06-14 16:56:49,2018-06-14 17:17:42,20m - 53.364s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 16:56:49,2018-06-14 16:56:52,3.254s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 16:56:53,2018-06-14 16:56:53,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 16:56:53,2018-06-14 17:17:42,20m - 49.052s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:17:42,2018-06-14 17:17:42,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:17:42,2018-06-14 17:17:42,0.934s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-04,Chrome 67.0.3396.79,To verify that public admin is able to create a group,2018-06-14 17:17:42,2018-06-14 17:22:13,4m - 30.452s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:17:43,2018-06-14 17:17:46,3.265s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:17:46,2018-06-14 17:17:46,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:17:46,2018-06-14 17:22:12,4m - 26.307s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:22:12,2018-06-14 17:22:12,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:22:12,2018-06-14 17:22:13,0.704s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-06,Chrome 67.0.3396.79,To verify that public admin is able to create a parent group,2018-06-14 17:22:13,2018-06-14 17:26:16,4m - 2.661s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:22:13,2018-06-14 17:22:16,3.380s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:22:16,2018-06-14 17:22:16,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:22:16,2018-06-14 17:26:15,3m - 58.462s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:26:15,2018-06-14 17:26:15,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:26:15,2018-06-14 17:26:16,0.661s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-08,Chrome 67.0.3396.79,To verify that Group names are unique,2018-06-14 17:26:16,2018-06-14 17:29:38,3m - 22.245s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:26:16,2018-06-14 17:26:19,3.255s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:26:19,2018-06-14 17:26:19,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:26:19,2018-06-14 17:29:37,3m - 18.019s,FAILED
Statement - Catch (Exception e),Chrome 67.0.3396.79,,2018-06-14 17:29:37,2018-06-14 17:29:37,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:29:37,2018-06-14 17:29:38,0.732s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-DeleteGroup-07,Chrome 67.0.3396.79,To verify that public admin is able to delete a group,2018-06-14 17:29:38,2018-06-14 17:35:31,5m - 53.584s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:29:38,2018-06-14 17:29:41,3.254s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:29:41,2018-06-14 17:29:41,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:29:41,2018-06-14 17:35:31,5m - 49.337s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:35:31,2018-06-14 17:35:31,0.693s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-EditGroup-05,Chrome 67.0.3396.79,To verify that public admin is able to view Manage report groups button,2018-06-14 17:35:31,2018-06-14 17:40:42,5m - 10.494s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:35:31,2018-06-14 17:35:35,3.284s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:35:35,2018-06-14 17:35:35,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:35:35,2018-06-14 17:40:41,5m - 6.380s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:40:41,2018-06-14 17:40:41,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:40:41,2018-06-14 17:40:42,0.662s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-ReportingGroupManagement-03,Chrome 67.0.3396.79,To verify that public admin is able to view Reporting Group Management screen,2018-06-14 17:40:42,2018-06-14 17:42:58,2m - 16.374s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:40:42,2018-06-14 17:40:45,3.243s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:40:45,2018-06-14 17:40:45,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:40:45,2018-06-14 17:42:58,2m - 12.251s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:42:58,2018-06-14 17:42:58,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:42:58,2018-06-14 17:42:58,0.757s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreDetailsPage-09,Chrome 67.0.3396.79,To verify that public admin is able to view store details page,2018-06-14 17:42:58,2018-06-14 17:44:04,1m - 5.721s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:42:58,2018-06-14 17:43:02,3.231s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:43:02,2018-06-14 17:43:02,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:43:02,2018-06-14 17:44:03,1m - 1.677s,FAILED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:44:03,2018-06-14 17:44:03,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:44:03,2018-06-14 17:44:04,0.663s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-01,Chrome 67.0.3396.79,To verify that public admin is able to view Manage report groups button,2018-06-14 17:44:04,2018-06-14 17:45:09,1m - 4.732s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:44:04,2018-06-14 17:44:07,3.264s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:44:07,2018-06-14 17:44:07,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:44:07,2018-06-14 17:45:08,1m - 0.715s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:45:08,2018-06-14 17:45:08,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:45:08,2018-06-14 17:45:09,0.651s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-02,Chrome 67.0.3396.79,To verify that Manage Report Groups button is shown based on user's authorization,2018-06-14 17:45:09,2018-06-14 17:47:18,2m - 9.524s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:45:09,2018-06-14 17:45:12,3.253s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:45:12,2018-06-14 17:45:12,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:45:12,2018-06-14 17:47:18,2m - 5.477s,FAILED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:47:18,2018-06-14 17:47:18,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:47:18,2018-06-14 17:47:18,0.661s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-01,Chrome 67.0.3396.79,To verify that public admin is able to view Goal Statistics Reports screen,2018-06-14 17:47:18,2018-06-14 17:53:33,6m - 14.595s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:47:18,2018-06-14 17:47:22,3.274s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:47:22,2018-06-14 17:47:22,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:47:22,2018-06-14 17:53:32,6m - 10.370s,FAILED
Statement - Catch (Exception e),Chrome 67.0.3396.79,,2018-06-14 17:53:32,2018-06-14 17:53:32,0.014s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:53:32,2018-06-14 17:53:32,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-14 17:53:32,2018-06-14 17:53:33,0.763s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-05,Chrome 67.0.3396.79,To verify that public admin is able to generate Daypart goal statistics report with advanced options for selected groups/stores for selected duration.,2018-06-14 17:53:33,2018-06-14 17:58:22,4m - 48.657s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-14 17:53:33,2018-06-14 17:53:36,3.263s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-14 17:53:36,2018-06-14 17:53:36,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-14 17:53:36,2018-06-14 17:58:21,4m - 44.537s,PASSED
Statement - Catch (Exception e),Chrome 67.0.3396.79,,2018-06-14 17:58:21,2018-06-14 17:58:21,0.002s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-14 17:58:21,2018-06-14 17:58:21,0.000s,PASSED
