Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 67.0.3396.79,,2018-06-18 13:52:53,2018-06-18 14:24:01,31m - 8.227s,FAILED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-04,Chrome 67.0.3396.79,To verify that public admin is able to create a group,2018-06-18 13:52:53,2018-06-18 13:57:31,4m - 37.972s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 13:52:53,2018-06-18 13:52:58,4.336s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 13:52:58,2018-06-18 13:52:58,0.001s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-18 13:52:58,2018-06-18 13:57:31,4m - 32.579s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-18 13:57:31,2018-06-18 13:57:31,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-18 13:57:31,2018-06-18 13:57:31,0.694s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-06,Chrome 67.0.3396.79,To verify that public admin is able to create a parent group,2018-06-18 13:57:31,2018-06-18 14:01:48,4m - 16.388s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 13:57:31,2018-06-18 13:57:35,3.312s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 13:57:35,2018-06-18 13:57:35,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-18 13:57:35,2018-06-18 14:01:47,4m - 12.174s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-18 14:01:47,2018-06-18 14:01:47,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-18 14:01:47,2018-06-18 14:01:48,0.685s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-08,Chrome 67.0.3396.79,To verify that Group names are unique,2018-06-18 14:01:48,2018-06-18 14:05:10,3m - 22.030s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 14:01:48,2018-06-18 14:01:51,3.274s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 14:01:51,2018-06-18 14:01:51,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-18 14:01:51,2018-06-18 14:05:09,3m - 17.871s,FAILED
Statement - Catch (Exception e),Chrome 67.0.3396.79,,2018-06-18 14:05:09,2018-06-18 14:05:09,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-18 14:05:09,2018-06-18 14:05:10,0.677s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-DeleteGroup-07,Chrome 67.0.3396.79,To verify that public admin is able to delete a group,2018-06-18 14:05:10,2018-06-18 14:11:07,5m - 56.809s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 14:05:10,2018-06-18 14:05:13,3.267s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 14:05:13,2018-06-18 14:05:13,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-18 14:05:13,2018-06-18 14:11:06,5m - 52.560s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-18 14:11:06,2018-06-18 14:11:07,0.760s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-EditGroup-05,Chrome 67.0.3396.79,To verify that public admin is able to view Manage report groups button,2018-06-18 14:11:07,2018-06-18 14:16:46,5m - 38.908s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 14:11:07,2018-06-18 14:11:10,3.262s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 14:11:10,2018-06-18 14:11:10,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-18 14:11:10,2018-06-18 14:16:45,5m - 34.801s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-18 14:16:45,2018-06-18 14:16:45,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-18 14:16:45,2018-06-18 14:16:46,0.677s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-ReportingGroupManagement-03,Chrome 67.0.3396.79,To verify that public admin is able to view Reporting Group Management screen,2018-06-18 14:16:46,2018-06-18 14:19:03,2m - 17.186s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 14:16:46,2018-06-18 14:16:49,3.267s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 14:16:49,2018-06-18 14:16:49,0.000s,PASSED
Statement - Try,Chrome 67.0.3396.79,,2018-06-18 14:16:49,2018-06-18 14:19:02,2m - 13.121s,PASSED
Statement - assert TCflag == true,Chrome 67.0.3396.79,,2018-06-18 14:19:02,2018-06-18 14:19:02,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.79,,2018-06-18 14:19:02,2018-06-18 14:19:03,0.661s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreDetailsPage-09,Chrome 67.0.3396.79,To verify that public admin is able to view store details page,2018-06-18 14:19:03,2018-06-18 14:20:27,1m - 23.909s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.79,,2018-06-18 14:19:03,2018-06-18 14:19:06,3.252s,PASSED
Statement - TCflag = true,Chrome 67.0.3396.79,,2018-06-18 14:19:06,2018-06-18 14:19:06,0.000s,PASSED
